course_id,difficulty_score,confidence,difficulty_score_raw
PHMD281,1.5513513513513515,low,2.6195033672914168
PHMD290,2.197683397683398,low,3.5237291880545047
PHMD299,1.7911196911196912,low,3.017462550964886
PHRMSCI1,1.0602316602316602,low,1.0932167656942562
PHRMSCI120,9.404633204633205,medium,8.301787309219065
PHRMSCI120L,3.7567567567567566,medium,4.7587029515842145
PHRMSCI121,6.935135135135136,medium,6.219555360581327
PHRMSCI122,8.479150579150579,medium,7.252679018721937
PHRMSCI122L,5.446718146718147,medium,5.587835449581416
PHRMSCI142,1.627799227799228,high,2.745846434184452
PHRMSCI155,9.176447876447876,high,7.946171596827844
PHRMSCI163,8.315830115830115,high,7.061819821215795
PHRMSCI170A,8.17915057915058,high,6.9180934397543625
PHRMSCI170B,9.611969111969112,high,8.604961389418358
PHRMSCI171,9.015444015444015,high,7.783961770416981
PHRMSCI172,1.9486486486486487,medium,3.2351859016021733
PHRMSCI173,9.571428571428571,medium,8.554340325550676
PHRMSCI174,9.175289575289575,high,7.946114178558882
PHRMSCI174L,8.874131274131273,high,7.637882124477762
PHRMSCI175,7.4198841698841695,medium,6.550985353933456
PHRMSCI176,5.97953667953668,medium,5.739556753558099
PHRMSCI177,9.73127413127413,high,8.808004985305343
PHRMSCI177L,9.607335907335907,medium,8.601043450051494
PHRMSCI179,1.9277992277992277,medium,3.2158579640079132
PHRMSCI197,2.808108108108108,medium,4.22610323263417
PHRMSCI198,1.8316602316602317,medium,3.0837288946975985
PHRMSCI199,2.2903474903474903,medium,3.6175025001058163
PHRMSCI223,9.48918918918919,high,8.438122042507251
PHRMSCI241,9.211776061776062,low,8.00093637527722
PHRMSCI242,1.584942084942085,medium,2.671633793539762
PHRMSCI250A,1.7158301158301157,low,2.8895233317989586
PHRMSCI250B,1.7158301158301157,low,2.8895233317989586
PHRMSCI250C,1.7158301158301157,low,2.8895233317989586
PHRMSCI251,9.255212355212356,low,8.061994494176954
PHRMSCI254,9.662355212355212,low,8.674572133928507
PHRMSCI255,9.670463320463321,low,8.693538416093546
PHRMSCI256,2.5654440154440152,low,3.9611182741237148
PHRMSCI257,1.8959459459459458,low,3.1805060292257554
PHRMSCI263,7.659073359073359,high,6.664036508894974
PHRMSCI264,9.865637065637065,medium,9.035701484553812
PHRMSCI265,7.699613899613899,medium,6.6741845584930095
PHRMSCI270,7.601158301158301,medium,6.6457211522629125
PHRMSCI272,5.107335907335908,medium,5.484957964973752
PHRMSCI274,9.617760617760618,medium,8.61762317446059
PHRMSCI275,7.4198841698841695,medium,6.550985353933456
PHRMSCI277,9.11969111969112,medium,7.888382885878125
PHRMSCI278,3.142857142857143,high,4.326121986297852
PHRMSCI279,2.003088803088803,medium,3.3036612364028297
PHRMSCI280,2.044787644787645,medium,3.3575052441823914
PHRMSCI298,2.4895752895752894,high,3.858897252467801
PHRMSCI299,1.5536679536679536,high,2.6205801254210894
PHRMSCI3,2.5938223938223937,high,3.9935489504551325
PHRMSCI399,4.499227799227799,medium,5.249856200494879
PHRMSCI42,1.901158301158301,high,3.1887946795670845
PHRMSCI66,5.044787644787645,medium,5.4687282579407315
PHRMSCI76,7.539768339768339,medium,6.620478713224134
PHRMSCI90,2.0644787644787645,high,3.382037594189118
PHRMSCIH199,1.730888030888031,medium,2.907212781772705
PHRMSCIH80,6.111583011583011,medium,5.788610900513482
PHYSCI105,3.742857142857143,medium,4.7478656801415315
PHYSCI106,1.3845559845559845,medium,2.347493792244555
PHYSCI139W,6.306177606177607,medium,5.867577630989904
PHYSCI220,2.177992277992278,medium,3.5099416968084904
PHYSCI5,2.402702702702703,medium,3.74520622150433
PHYSCI80,2.7525096525096524,medium,4.157830953717742
PHYSCI9,8.261389961389963,medium,7.015555044459548
PHYSICS100,9.244787644787644,medium,8.053844436556146
PHYSICS106,6.0675675675675675,medium,5.771195214008451
PHYSICS106W,6.321235521235521,high,5.8728876799543235
PHYSICS111A,9.503088803088803,high,8.452185164337696
PHYSICS111B,9.564478764478764,high,8.537724930502016
PHYSICS112A,9.535521235521236,high,8.49880865044374
PHYSICS112B,9.694208494208494,high,8.734880162051573
